NPI,duration,event,specialty_churn,months_since_update,state_mobility,has_docs,years_active
1666582767,6.0,0,0.13,95.5,0.0,1.0,12.7
1982133112,6.0,0,0.14,53.8,0.0,0.0,8.7
1689004079,1.2,1,0.18,23.5,0.0,0.0,12.3
1154947851,6.0,0,0.18,63.8,0.0,0.0,5.7
1124641113,0.5,1,0.22,24.8,0.0,1.0,5.8
1134138779,6.0,0,0.2,75.7,0.0,0.0,19.6
1104924042,0.5,1,0.17,227.2,0.0,0.0,19.5
1699953208,1.6,1,0.18,79.1,0.0,0.0,18.1
1235148545,1.6,1,0.18,155.7,0.0,0.0,19.6
1154869667,6.0,0,0.2,23.2,0.0,1.0,9.1
1356055057,5.9,1,0.17,38.4,0.0,0.0,3.2
1245845320,4.5,1,0.2,47.7,0.0,0.0,5.5
1154944403,2.2,1,0.2,25.3,0.0,0.0,5.8
1962445163,1.1,1,0.19,226.1,0.0,1.0,19.7
1013438084,6.0,0,0.18,44.2,0.0,0.0,8.7
1851048904,2.9,1,0.22,16.5,0.0,0.0,4.0
1570559806,6.0,0,0.2,59.2,0.0,0.0,20.7
1528118304,4.2,1,0.14,106.7,0.0,0.0,19.1
5514681700,0.5,1,0.15,42.6,0.0,0.0,3.6
1962156869,6.0,0,0.2,36.2,0.0,0.0,4.1
1316405939,6.0,1,0.18,3.4,1.0,1.0,7.0
1659748671,3.9,1,0.18,128.2,0.0,0.0,10.5
1013406313,6.0,0,0.2,54.2,1.0,0.0,7.8
1295426179,6.0,0,0.15,4.9,1.0,0.0,2.8
1255186086,0.8,1,0.15,22.8,1.0,0.0,1.9
1225052145,4.0,1,0.2,28.8,0.0,0.0,19.6
1942659651,3.5,1,0.18,80.6,1.0,1.0,9.8
1801193834,5.1,1,0.14,21.4,1.0,0.0,15.0
1457582884,0.5,1,0.18,201.2,1.0,0.0,16.6
1811585698,6.0,0,0.2,0.9,1.0,0.0,5.2
1245279280,1.4,1,0.15,5.9,1.0,0.0,19.8
1285935403,5.6,1,0.18,186.7,1.0,0.0,15.3
1689850390,0.5,1,0.18,30.9,1.0,0.0,2.5
1053487330,1.4,1,0.15,227.2,1.0,1.0,19.3
1356399125,0.8,1,0.12,227.2,1.0,0.0,19.8
1346270170,0.5,1,0.15,227.2,0.0,0.0,19.7
1053626648,6.0,0,0.18,15.8,0.0,1.0,15.6
1629790241,6.0,0,0.15,42.4,1.0,0.0,3.5
1386490894,4.3,1,0.2,22.5,1.0,0.0,1.9
1902041551,0.7,1,0.2,159.3,1.0,0.0,17.2
1568559383,6.0,0,0.22,127.1,0.0,0.0,19.4
1881745560,6.0,0,0.16,24.6,0.0,0.0,19.1
1619379690,6.0,0,0.2,14.1,0.0,0.0,11.5
1154997716,6.0,0,0.15,57.9,0.0,1.0,4.8
1215593660,6.0,0,0.2,69.5,0.0,0.0,6.8
1689965766,2.3,1,0.14,101.1,0.0,0.0,14.9
1306570577,4.4,1,0.15,44.4,0.0,0.0,3.6
1379975307,6.0,0,0.12,23.1,0.0,1.0,3.6
1528621083,4.4,1,0.1,83.8,0.0,0.0,6.9
1982105227,6.0,0,0.15,97.8,0.0,0.0,8.0
1154876977,6.0,0,0.12,116.1,0.0,1.0,9.5
1063777407,6.0,0,0.18,26.5,0.0,0.0,13.7
1780294504,6.0,0,0.18,11.8,0.0,0.0,5.6
1609530641,2.9,1,0.22,20.1,0.0,0.0,4.4
1508336439,6.0,0,0.2,48.1,0.0,1.0,7.3
1265082317,6.0,0,0.22,20.8,0.0,0.0,6.5
1033175476,6.0,0,0.14,36.6,0.0,0.0,19.9
1780180752,3.6,1,0.16,96.6,0.0,0.0,7.9
1333219960,0.5,1,0.18,29.9,0.0,0.0,6.7
1245405323,0.7,1,0.18,217.3,0.0,0.0,17.9
1821720335,6.0,0,0.12,4.3,0.0,1.0,3.7
1609399427,6.0,0,0.22,12.5,0.0,0.0,8.6
1962418004,0.8,1,0.15,227.2,0.0,0.0,19.6
1942677497,6.0,0,0.2,3.6,0.0,0.0,10.5
1295032274,6.0,0,0.15,145.5,0.0,1.0,15.0
1720298490,0.5,1,0.18,227.2,0.0,0.0,18.8
1699935205,6.0,0,0.15,8.6,0.0,0.0,17.7
1770047623,0.5,1,0.16,86.6,0.0,0.0,7.1
1508880543,0.5,1,0.2,227.2,0.0,1.0,19.6
1376251280,2.2,1,0.25,40.5,0.0,1.0,3.3
1972364156,3.0,1,0.2,8.5,0.0,0.0,2.1
1366171829,6.0,0,0.15,45.6,0.0,0.0,3.7
1649331273,0.5,1,0.12,227.2,0.0,1.0,19.2
1538169909,5.1,1,0.15,146.2,0.0,1.0,20.6
1821653056,6.0,0,0.08,56.6,0.0,0.0,6.8
1396791273,6.0,0,0.14,5.9,0.0,0.0,19.8
1124120100,0.5,1,0.15,227.2,0.0,0.0,19.5
1285688465,6.0,0,0.2,59.2,0.0,0.0,19.8
1205415536,6.0,0,0.15,59.9,0.0,0.0,4.9
1245910926,3.4,1,0.18,32.1,0.0,1.0,2.6
1760150999,6.0,0,0.2,10.8,0.0,0.0,4.5
1093250722,0.5,1,0.14,111.6,1.0,0.0,9.2
1467199414,6.0,0,0.16,5.9,1.0,0.0,3.8
1295445542,6.0,0,0.25,39.8,0.0,0.0,3.3
1851265516,6.0,0,0.25,5.2,0.0,1.0,0.4
1013481589,5.8,1,0.15,81.3,1.0,0.0,7.1
1366963605,2.1,1,0.15,16.5,1.0,0.0,8.7
1750046371,6.0,0,0.16,52.7,0.0,1.0,4.3
1023454964,2.0,1,0.15,86.9,1.0,0.0,12.8
1063795102,2.7,1,0.2,53.4,1.0,0.0,14.4
1013394402,4.7,1,0.15,132.0,1.0,0.0,10.8
1709413821,6.0,0,0.18,20.2,1.0,0.0,1.7
1558169565,3.8,1,0.15,8.5,1.0,1.0,1.0
1093466880,6.0,0,0.2,50.5,1.0,1.0,4.1
1124493432,0.5,1,0.2,46.0,1.0,0.0,10.2
1821283763,2.1,1,0.14,53.6,1.0,0.0,18.5
1467083154,3.0,1,0.2,73.8,1.0,0.0,6.1
1135712087,1.1,1,0.25,64.4,1.0,0.0,5.3
1295979367,0.5,1,0.15,205.5,1.0,0.0,16.9
1255418521,2.4,1,0.1,157.8,1.0,0.0,19.3
